,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in
0, Hyundai Tucson 1.6 GDi SE Manual 5dr     ,"£13,699",2018,SUV,"19,228",1.6L,132PS,Manual,Petrol
1, BMW 2 Series 3.0 M235i Sport Auto (s/s) 2dr     ,"£19,000",2016,Coupe,"12,000",3.0L,326BHP,Automatic,Petrol
2, Nissan Note 1.6 16v Acenta 5dr     ,"£1,205",2007,Hatchback,"70,699",1.6L,109BHP,Manual,Petrol
3, Volkswagen Touareg 5.0 TDI V10 5dr     ,"£5,750",2005,SUV,"137,000",5.0L,307BHP,Automatic,Diesel
4, Audi A1 2.0 TDI Amplified Edition Sportback 5dr     ,"£35,000",2012,Hatchback,"95,000",2.0L,141BHP,Manual,Diesel
5, Mercedes-Benz E Class 3.0 E320 CDI Sport G-Tronic 4dr     ,"£5,250",2009,Saloon,"80,040",3.0L,221BHP,Automatic,Diesel
6, Toyota Auris 1.4 D-4D TR 5dr     ,"£3,200",2010,Hatchback,"87,600",1.4L,90BHP,Manual,Diesel
7, BMW M6 4.4 V8 DCT (s/s) 2dr     ,"£31,500",2016,Convertible,"44,800",4.4L,560PS,Automatic,Petrol
8, Jaguar XJ 5.0 V8 Supercharged Supersport 4dr     ,"£15,450",2010,Saloon,"90,000",5.0L,503BHP,Automatic,Petrol
9, Smart Fortwo 1.0 Passion 2dr     ,"£3,350",2008,Coupe,"44,461",1.0L,84BHP,Automatic,Petrol
10, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,"£3,995",2012,Coupe,"32,630",1.0L,71BHP,Automatic,Petrol
11, BMW X5 xDrive40d M Sport 5dr Auto 3.0     ,"£12,495",2011,SUV,"94,000",3.0L,299BHP,Automatic,Diesel
12, Suzuki Swift 1.2 DualJet SZ3 5dr     ,"£8,695",2019,Hatchback,"5,047",1.2L,90PS,Manual,Petrol
13, Smart Fortwo Coupe 1.0 Passion 2dr Bluetooth     ,"£5,999",2016,Coupe,"14,272",1.0L,71PS,Manual,Petrol
14, BMW X5 3.0 d Sport 5dr     ,"£2,995",2005,SUV,"192,842",3.0L,218BHP,Manual,Diesel
15, Mercedes-Benz CL 5.0 CL500 2dr     ,"£5,500",2004,Coupe,"136,800",5.0L,302BHP,Automatic,Petrol
16, BMW X5 3.0 30sd M Sport 5dr     ,"£7,950",2007,SUV,"110,000",3.0L,286BHP,Automatic,Diesel
17, Mercedes-Benz C Class 1.8 C180 Kompressor Classic SE 5dr     ,£595,2005,Estate,"138,000",1.8L,143BHP,Automatic,Petrol
18, Volkswagen Sharan 1.9 TDI PD Sport 5dr     ,£795,2004,MPV,"96,000",1.9L,115BHP,Automatic,Diesel
19, Jeep Cherokee 2.5 TD Sport 4x4 5dr     ,£795,1995,SUV,"80,000",2.5L,114BHP,Manual,Diesel
20, Toyota Corolla Verso 2.0 D-4D T Spirit 5dr     ,£895,2004,MPV,"114,000",2.0L,114BHP,Manual,Diesel
21, Lexus IS 200 2.0 SE 4dr     ,"£1,195",2001,Saloon,"93,000",2.0L,153BHP,Automatic,Petrol
22, Daihatsu Materia 1.5 5dr     ,"£1,195",2007,MPV,"115,000",1.5L,102BHP,Automatic,Petrol
23, Toyota Corolla Allion 1.5 Automatic 4dr     ,"£1,395",,,,,,,
24, Porsche 911 3.8 991 Carrera GTS PDK (s/s) 2dr     ,"£69,990",2015,Coupe,"39,000",3.8L,436PS,Automatic,Petrol
25, Hyundai ix35 1.7 CRDi Blue Drive Premium 5dr [Leather] 2WD …     ,"£8,499",2014,SUV,"44,016",1.7L,114BHP,Manual,Diesel
26, Honda Civic 1.0 VTEC Turbo SR CVT (s/s) 5dr     ,"£12,395",2017,Hatchback,"21,000",1.0L,129PS,Automatic,Petrol
27, Mercedes-Benz E Class 3.0 E350 CDI BlueEFFICIENCY Sport …     ,"£11,750",2013,Coupe,"53,400",3.0L,264BHP,Automatic,Diesel
28, Ford Focus 2.0T EcoBoost ST-3 (s/s) 5dr     ,"£14,000",2015,Hatchback,"37,400",2.0L,250PS,Manual,Petrol
29, Porsche Boxster 2.7 986 2dr     ,"£5,500",CAT,Icon,2002,reg),Convertible,"142,697",miles
30, Vauxhall Astra 1.6i 16V SRi 5dr     ,"£3,995",2010,Hatchback,"65,270",1.6L,115PS,Manual,Petrol
31, Fiat 500 1.2 Lounge 3dr [Start Stop]     ,"£5,495",2015,Hatchback,"34,368",1.2L,69BHP,Manual,Petrol
32, Hyundai i20 1.2 SE 5dr     ,"£7,995",2017,Hatchback,"34,945",1.2L,84PS,Manual,Petrol
33, Vauxhall Mokka 1.6i Tech Line 5dr     ,"£8,995",2014,Hatchback,"14,678",1.6L,113BHP,Manual,Petrol
34, Vauxhall Astra 1.6 CDTi 16V ecoFLEX SRi 5dr     ,"£10,294",2017,Estate,"21,648",1.6L,110PS,Manual,Diesel
35, Vauxhall Corsa 1.4 Energy 5dr [AC] Auto     ,"£10,495",2017,Hatchback,"15,566",1.4L,90PS,Automatic,Petrol
36, Vauxhall Astra 1.4T 16V 150 Elite 5dr     ,"£10,795",2016,Hatchback,"33,123",1.4L,150PS,Manual,Petrol
37, Isuzu D-Max 1.9 XTR Nav+ Double Cab 4x4 Auto     ,"£38,994",2020,Pickup,"1,000",1.9L,164PS,Automatic,Diesel
38, Volkswagen Scirocco 1.4 TSI 122 3dr [Nav] Satellite Navigation     ,"£7,949",2013,Coupe,"67,547",1.4L,123BHP,Manual,Petrol
40, Isuzu D-Max 1.9 TD Utah Double Cab Pickup 4WD EU6 4dr     ,"£22,800",2017,Pickup,"8,000",1.9L,164PS,Manual,Diesel
41, Peugeot 5008 1.6 HDi FAP Allure 5dr     ,"£5,001",2012,MPV,"66,000",1.6L,112BHP,Manual,Diesel
42, Land Rover 90 2.5 TD Hard Top     ,"£22,000",1990,SUV,"76,050",2.5L,85BHP,Manual,Diesel
43, Toyota Corolla 1.6 CD 5dr     ,£695,CAT,Icon,1996,reg),Hatchback,"167,000",miles
44, SEAT Ibiza 1.4 16v Toca 5dr     ,"£5,994",2014,Hatchback,"30,700",1.4L,84BHP,Manual,Petrol
45, Toyota RAV4 2.0 D-4D XT3 4WD 5dr     ,"£3,995",2005,SUV,"83,000",2.0L,114BHP,Manual,Diesel
46, Land Rover Discovery 2.5 TD5 Pursuit 5dr (5 Seats)     ,"£5,295",2004,SUV,"92,000",2.5L,136BHP,Manual,Diesel
47, Volkswagen Caravelle 2.5 TD CL (8 Seats)     ,"£5,995",,,,,,,
48, Vauxhall Zafira 1.7 CDTi ecoFLEX 16v Life 5dr     ,"£6,795",2011,MPV,"26,000",1.7L,123BHP,Manual,Diesel
49, Nissan Note 1.5 dCi Tekna (Safety Pack) 5dr     ,"£6,795",2013,Hatchback,"43,000",1.5L,89BHP,Manual,Diesel
50, Volkswagen Polo 1.6 TDI SE 5dr     ,"£3,495",2010,Hatchback,"98,000",1.6L,75BHP,Manual,Diesel
51, Vauxhall Insignia 2.0 CDTi [170] ecoFLEX SRi Nav 5dr [Start …     ,"£8,749",2015,Hatchback,"42,579",2.0L,168BHP,Manual,Diesel
52, Toyota Yaris 1.33 Icon 5-Dr 5dr     ,"£10,250",2017,Hatchback,"23,021",1.33L,99PS,Automatic,Petrol
53, Mercedes-Benz E Class 2.1 E220 CDI BlueTEC SE 7G-Tronic Plus 4dr     ,"£10,450",2015,Saloon,"89,090",2.1L,177BHP,Automatic,Diesel
54, Nissan 350 Z 3.5     ,"£5,800",2005,Coupe,"55,724",3.5L,Manual,Petrol,4
55, Fiat 500 1.3 MultiJet 16v Pop (s/s) 3dr     ,"£4,550",2013,Hatchback,"80,000",1.3L,95BHP,Manual,Diesel
56, BMW 1 Series 1.6 116d EfficientDynamics Sports Hatch (s/s) 5dr     ,"£6,400",2014,Hatchback,"69,995",1.6L,116BHP,Manual,Diesel
57, Audi A8 3.0 TDI SE Tiptronic quattro 4dr LWB     ,"£12,900",2011,Saloon,"59,527",3.0L,246BHP,Automatic,Diesel
58, Bentley Continental 6.0 GT 2dr     ,"£21,490",2005,Coupe,"59,856",6.0L,552BHP,Automatic,Petrol
59, Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic Auto 4WD …     ,"£28,000",2017,Convertible,"25,148",2.0L,180PS,Automatic,Diesel
60, Mercedes-Benz E Class 2.1 E220 CDI BlueEFFICIENCY Sport …     ,"£5,995",2013,Saloon,"140,000",2.1L,175BHP,Automatic,Diesel
61, BMW 3 Series 3.0 330Ci 2dr     ,"£5,995",2003,Convertible,"107,000",3.0L,231BHP,Manual,Petrol
62, Honda Accord 2.2 i-DTEC ES 4dr     ,"£3,135",2009,Saloon,"108,000",2.2L,148BHP,Automatic,Diesel
63, Honda Jazz 1.4 i-VTEC EX 5dr CVT     ,"£10,250",,,,,,,
66, Volkswagen Polo 1.0 EVO SE (s/s) 5dr     ,"£12,000",2019,Hatchback,"13,500",1.0L,80PS,Manual,Petrol
67, Ford Kuga 1.5T EcoBoost Titanium Auto AWD (s/s) 5dr     ,"£12,450",2017,SUV,"48,000",1.5L,182PS,Automatic,Petrol
68, Volkswagen Beetle 1.6 Luna Cabriolet 2dr     ,"£4,495",2011,Convertible,"60,000",1.6L,102BHP,Manual,Petrol
69, Ford Fiesta 1.4 Titanium 5dr     ,"£3,150",2009,Hatchback,"76,476",1.4L,94BHP,Manual,Petrol
70, Nissan 350 Z 3.5 V6 GT 2dr     ,"£5,995",2008,Convertible,"71,000",3.5L,296BHP,Manual,Petrol
71, Rover 75 2.0 CDT Classic 4dr     ,£600,2004,Saloon,"160,000",2.0L,114BHP,Automatic,Diesel
72, BMW X3 2.0 20d SE xDrive 5dr     ,"£10,755",2011,SUV,"58,000",2.0L,184BHP,Automatic,Diesel
73," Nissan Micra 1.2 Acenta Hatchback 5dr Petrol Manual (115 g/km, …     ","£4,991",2014,Hatchback,"30,999",1.2L,79BHP,Manual,Petrol
74, SKODA Citigo 1.0 SE 3dr     ,"£5,189",2017,Hatchback,"46,403",1.0L,59BHP,Manual,Petrol
75, Vauxhall Astra 1.4 16v SRi 5dr     ,"£5,408",2013,Hatchback,"40,948",1.4L,100PS,Manual,Petrol
76, Vauxhall Combo Life 1.5 Turbo D 130 Energy 5dr Auto Estate     ,"£23,880",2020,MPV,"2,172",1.5L,130PS,Automatic,Diesel
78, Vauxhall Insignia 2.0 CDTi [163] SRi Vx-line Nav 5dr Auto …     ,"£8,499",2015,Estate,"39,074",2.0L,161BHP,Automatic,Diesel
79, Jaguar XF 3.0 TD V6 S Premium Luxury (s/s) 4dr     ,"£11,500",2013,Saloon,"57,950",3.0L,271BHP,Automatic,Diesel
80, Peugeot Partner 1.6 HDi S L2 Crew Van 4dr     ,"£1,395",2009,Combi,Van,miles,1.6L,90BHP,Manual
81, BMW M3 4.0 V8 2dr     ,"£16,900",2008,Coupe,"42,000",4.0L,420BHP,Manual,Petrol
82, Audi Q5 2.0 TDI S line Plus S Tronic quattro (s/s) 5dr     ,"£18,500",2014,SUV,"50,500",2.0L,175BHP,Automatic,Diesel
83, Porsche 911 3.6 996 Turbo AWD 2dr     ,"£34,000",2002,Coupe,"69,000",3.6L,414BHP,Manual,Petrol
84, Jaguar XF 3.0 TD V6 S Premium Luxury (s/s) 4dr     ,"£9,100",CAT,Icon,2013,reg),Saloon,"53,690",miles
85, Mercedes-Benz C Class 2.1 C220 CDI BlueTEC Sport (s/s) 4dr     ,"£10,995",2014,Saloon,"55,000",2.1L,170PS,Manual,Diesel
86, Honda S2000 2.0 i-VTEC Roadster 2dr     ,"£10,495",2005,Convertible,"68,100",2.0L,236BHP,Manual,Petrol
87, Jaguar S-Type 2.7 D V6 SE 4dr     ,"£1,995",2004,Saloon,"120,000",2.7L,206BHP,Automatic,Diesel
88, Citroen DS3 1.6 VTi Black 3dr     ,"£3,495",2010,Hatchback,"64,300",1.6L,118BHP,Manual,Petrol
89, Audi Q5 2.0 TDI S line Plus S Tronic quattro (s/s) 5dr     ,"£19,249",2016,SUV,"42,776",2.0L,187BHP,Automatic,Diesel
90, Fiat 500L 1.6 Multijet 105 Lounge 5dr Bluetooth     ,"£6,349",2014,MPV,"49,569",1.6L,105BHP,Manual,Diesel
91, KIA Ceed 1.6 CRDi 2 5dr     ,"£3,199",2011,Estate,"68,000",1.6L,113BHP,Manual,Diesel
92, Land Rover Range Rover Sport 3.0 SD V6 HSE Dynamic 4X4 (s/s) 5dr     ,"£31,500",2014,SUV,"52,000",3.0L,288BHP,Automatic,Diesel
93, Land Rover Discovery 3.0 SD V6 HSE Auto 4WD EU6 (s/s) 5dr     ,"£50,340",2019,Panel,Van,miles,3.0L,306PS,Automatic
94, Volkswagen Golf 2.0 TSI BlueMotion Tech R DSG 4MOTION (s/s) 3dr     ,"£15,950",CAT,Icon,2014,reg),Hatchback,"43,000",miles
95, SKODA Yeti 2.0 TDI Laurin & Klement Outdoor DSG 4WD (s/s) 5dr     ,"£15,000",2016,SUV,"9,770",2.0L,150PS,Automatic,Diesel
96, Porsche 911 3.8 997 Carrera S 2dr     ,"£25,995",2005,Coupe,"36,500",3.8L,350BHP,Manual,Petrol
97, Audi A5 3.0 TDI Sport Tiptronic quattro 2dr     ,"£7,499",2008,Coupe,"61,600",3.0L,242BHP,Automatic,Diesel
98, Mazda3 2.2 TD SKYACTIV-D SE-L Nav Fastback 4dr     ,"£7,999",2015,Saloon,"33,200",2.2L,148BHP,Manual,Diesel
99, Peugeot 207 1.6 HDi Sport 5dr     ,£950,2007,Hatchback,"101,560",1.6L,90BHP,Manual,Diesel
100, SKODA Octavia 1.9 TDI PD Ambiente SE 5dr     ,£800,2004,Hatchback,"188,828",1.9L,130BHP,Manual,Diesel
101, Jaguar F-Type 3.0 V6 400 Sport Auto AWD (s/s) 2dr     ,"£55,500",2018,Coupe,"4,400",3.0L,400PS,Automatic,Petrol
102, Ford Focus ZETEC NAVIGATOR 1.6TDCI 5dr     ,"£7,495",2014,Hatchback,"32,500",1.6L,113BHP,Manual,Diesel
103, Honda Civic 1.8 i-VTEC Sport 5dr [Nav] Satellite Navigation     ,"£8,583",2015,Hatchback,"63,930",1.8L,142PS,Manual,Petrol
104, Nissan Qashqai 1.5 dCi Acenta (s/s) 5dr     ,"£13,950",2019,SUV,"4,700",1.5L,115PS,Manual,Diesel
105, Honda Cr-V 2.2 i-DTEC S 4x4 5dr (dab)     ,"£9,350",2014,SUV,"54,000",2.2L,148BHP,Automatic,Diesel
106, Land Rover Range Rover Sport 2.0 Si4 HSE Auto 4WD (s/s) 5dr     ,"£58,995",2018,SUV,"14,800",2.0L,300PS,Automatic,Petrol
107, Renault Grand Scenic 1.6 VVT Expression 5dr     ,£600,2004,MPV,"114,780",1.6L,115BHP,Manual,Petrol
108, Mitsubishi L200 2.5 TD Warrior Crewcab Pickup 4dr     ,"£3,300",2005,Pickup,"125,000",2.5L,113BHP,Manual,Diesel
109, Volvo C30 1.6 D R-Design Sport 2dr     ,"£2,650",2009,Coupe,"82,500",1.6L,108BHP,Manual,Diesel
110, Volkswagen Golf 3.2 V6 R32 4MOTION 5dr     ,"£8,000",2007,Hatchback,"82,000",3.2L,247BHP,Manual,Petrol
111, BMW M3 3.2 Sequential 2dr     ,"£9,000",2002,Convertible,"88,850",3.2L,343BHP,Automatic,Petrol
112, Volkswagen UP! 1.0 Move up! 5dr     ,"£4,750",2015,Hatchback,"20,310",1.0L,59BHP,Manual,Petrol
113, BMW Z4 2.0 20i M Sport sDrive 2dr     ,"£9,495",2012,Convertible,"66,000",2.0L,184BHP,Manual,Petrol
114, SEAT Leon 1.6 TDI SE (Tech Pack) DSG (s/s) 5dr     ,"£4,400",CAT,Icon,2014,reg),Hatchback,"115,000",miles
115, Mercedes-Benz G Class 3.0 G350 CDi BlueTEC G-Tronic 4WD 5dr     ,"£50,000",2014,SUV,"16,541",3.0L,211PS,Automatic,Diesel
117, MINI Hatchback 1.6 Cooper 3dr     ,"£3,900",2010,Hatchback,"52,040",1.6L,120BHP,Manual,Petrol
118, Volkswagen Beetle 3dr     ,"£10,250",1968,Hatchback,"98,000",Manual,Petrol,5,owners
119, Ford Fiesta 1.6 EcoBoost ST-2 3dr     ,"£8,999",2016,Hatchback,"43,000",1.6L,180BHP,Manual,Petrol
120, MINI Hatch 1.6 Cooper 3dr     ,"£2,995",2003,Hatchback,"105,500",1.6L,116BHP,Manual,Petrol
121, Audi A6 Saloon 2.0 TDI ultra Black Edition (s/s) 4dr     ,"£14,650",2014,Saloon,"34,400",2.0L,190PS,Manual,Diesel
122, Ford Tourneo Custom 2.0 TDCi 310 L1 Titanium Bus 5dr (8 Seats)     ,"£18,000",2017,Minibus,"28,000",2.0L,168BHP,Manual,Diesel
123, Ford Focus ST 2.0     ,"£12,000",2018,Hatchback,"11,000",2.0L,Manual,Petrol,1
124, Volvo XC70 2.4 D5 ES AWD 5dr     ,"£6,995",2011,Estate,"104,500",2.4L,202BHP,Manual,Diesel
125, Mercedes-Benz A Class 2.1 A200 CDI Sport 5dr     ,"£10,800",2014,Hatchback,"35,700",2.1L,134BHP,Manual,Diesel
126, Volvo XC90 2.4 D5 Active Geartronic AWD 5dr     ,"£6,000",2010,SUV,"99,000",2.4L,182BHP,Automatic,Diesel
127, Audi A3 2.0 S line Sportback quattro 5dr     ,"£6,000",2008,Hatchback,"54,116",2.0L,197BHP,Manual,Petrol
128, Peugeot 3008 1.6 BlueHDi Allure (s/s) 5dr     ,"£15,595",2017,SUV,"35,757",1.6L,120PS,Manual,Diesel
129, Fiat 500 1.2 S 3dr     ,"£6,150",2015,Hatchback,"19,468",1.2L,69BHP,Manual,Petrol
130, MINI Hatch 1.2 One 3dr [Pepper Pack] Bluetooth     ,"£9,149",2016,Hatchback,"28,611",1.2L,102PS,Manual,Petrol
131, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,"£4,250",2012,Coupe,"24,288",1.0L,71BHP,Automatic,Petrol
132, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,"£4,350",2011,Coupe,"26,933",1.0L,71BHP,Automatic,Petrol
133, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,"£4,550",2011,Coupe,"10,249",1.0L,71BHP,Automatic,Petrol
134, Smart Fortwo 1.0 MHD Passion Softouch 2dr     ,"£5,075",2013,Coupe,"12,488",1.0L,71BHP,Automatic,Petrol
135, Vauxhall Astra 1.6i Excite 5dr     ,"£4,549",CAT,Icon,2015,reg),Hatchback,"50,800",miles
136, Mercedes-Benz SLK 1.8 SLK200 Kompressor 2dr     ,"£8,750",2009,Convertible,"32,000",1.8L,184BHP,Automatic,Petrol
137, Mercedes-Benz EQC E 80kWh Edition 1 Auto 4MATIC 5dr     ,"£68,000",2019,SUV,"2,000",408PS,Automatic,Electric,1
138, Volvo C30 1.6 D2 R-Design 2dr     ,"£4,700",2011,Coupe,"82,500",1.6L,113BHP,Manual,Diesel
139, Mercedes-Benz G Class 3.0 GE300 GEL 5dr     ,"£27,490",1991,SUV,"69,700",3.0L,170BHP,Automatic,Petrol
140, Fiat Panda 1.1 Active 5dr     ,"£1,495",2008,Hatchback,"59,000",1.1L,54BHP,Manual,Petrol
141, Land Rover Range Rover 4.0 V8 HSE 5dr     ,"£3,995",2000,SUV,"92,000",4.0L,182BHP,Automatic,Petrol
144, Renault Clio 0.9 TCe Dynamique MediaNav (s/s) 5dr     ,"£3,895",CAT,Icon,2015,reg),Hatchback,"51,000",miles
145, BMW 3 Series 2.0 320d SE Touring 5dr     ,"£2,750",CAT,Icon,2009,reg),Estate,"113,144",miles
146, Jaguar X-Type 2.2 D DPF SE 5dr     ,"£3,495",2009,Estate,"95,277",2.2L,143BHP,Automatic,Diesel
147, Ford Mondeo 2.0 TDCi Titanium X Business Powershift 5dr     ,"£3,500",2014,Hatchback,"149,797",2.0L,161BHP,Automatic,Diesel
148, BMW 5 Series 2.0 520d SE Touring 5dr     ,"£3,500",2006,Estate,"117,283",2.0L,163BHP,Automatic,Diesel
149, Ford Fiesta 1.4 Titanium 5dr     ,"£3,750",2011,Hatchback,"99,995",1.4L,94BHP,Automatic,Petrol
150, BMW 5 Series 2.5 525i M Sport Touring 5dr     ,"£3,990",2006,Estate,"125,000",2.5L,215BHP,Automatic,Petrol
151, BMW 3 Series 2.0 320d SE Business Edition Touring 5dr     ,"£3,990",2008,Estate,"116,364",2.0L,177BHP,Automatic,Diesel
152, BMW Z4 2.5 i SE Roadster 2dr     ,"£3,995",2004,Convertible,"83,000",2.5L,192BHP,Manual,Petrol
153, SKODA Octavia 1.8 TSI Laurin & Klement DSG 5dr     ,"£4,500",2010,Hatchback,"85,000",1.8L,160BHP,Automatic,Petrol
154, Porsche 911 3.8 997 Carrera S PDK 2dr     ,"£37,990",2009,Coupe,"48,000",3.8L,385BHP,Automatic,Petrol
155, Volkswagen Polo 1.4 SEL 5dr Alloy Wheels     ,"£6,849",2012,Hatchback,"44,574",1.4L,85BHP,Manual,Petrol
157, Vauxhall Astra 1.0T ecoTEC Design 5dr     ,"£10,995",2018,Hatchback,"19,027",1.0L,105PS,Manual,Petrol
158, Isuzu Rodeo 3.0TD Denver Max LE Double Cab 4x4     ,"£11,874",2011,Pickup,"73,000",3.0L,161BHP,Manual,Diesel
159, Vauxhall Mokka X 1.4T Active 5dr     ,"£11,995",2017,SUV,"12,588",1.4L,140PS,Manual,Petrol
160, Renault Captur 1.5 dCi 90 Iconic 5dr     ,"£12,095",2019,SUV,"11,210",1.5L,90PS,Manual,Diesel
161, Volkswagen Polo 1.4 TSI ACT BlueGT 5dr     ,"£12,495",2016,Hatchback,"31,837",1.4L,148BHP,Manual,Petrol
162, Audi A1 1.4 TFSI S Line 3dr     ,"£12,995",2016,Hatchback,"33,000",1.4L,125PS,Manual,Petrol
163, Vauxhall Combo Life 1.5 Turbo D Energy 5dr [7 seat]     ,"£15,994",2019,MPV,"8,707",1.5L,100PS,Manual,Diesel
164, Vauxhall Mokka X 1.4T Griffin Plus 5dr     ,"£16,495",2019,SUV,"4,185",1.4L,140PS,Manual,Petrol
165, Vauxhall Crossland X 1.5 Turbo D ecoTec [102] Elite 5dr [Start …     ,"£18,995",2019,SUV,100,1.5L,102PS,Manual,Diesel
166, Vauxhall Grandland X 1.2 Turbo Elite Nav 5dr     ,"£19,194",2019,SUV,"9,859",1.2L,130PS,Manual,Petrol
168, Vauxhall Agila 1.2 Vvt Ecoflex Se 5Dr     ,"£4,599",2014,Hatchback,"25,101",1.2L,92BHP,Manual,Petrol
169, Citroen DS3 1.6 e-HDi 115 Airdream DSport Red 3dr Parking …     ,"£6,349",2013,Hatchback,"56,607",1.6L,115BHP,Manual,Diesel
170, Honda Jazz 1.4 i-VTEC Si 5dr     ,"£6,995",2012,Hatchback,"37,000",1.4L,98BHP,Manual,Petrol
171, MINI Hatch 1.6 Cooper S Camden 3dr     ,"£7,395",2010,Hatchback,"40,000",1.6L,190BHP,Manual,Petrol
172, Hyundai ix20 1.6 CRDi Blue Drive Style 5dr     ,"£7,495",2014,Hatchback,"26,000",1.6L,114BHP,Manual,Diesel
173, SKODA Fabia 1.2 TSI SE (s/s) 5dr     ,"£7,495",2015,Hatchback,"30,000",1.2L,110PS,Manual,Petrol
174, Ford B-Max 1.6 TDCi Titanium 5dr (EU5)     ,"£7,595",2014,MPV,"29,000",1.6L,95PS,Manual,Diesel
175, Mitsubishi Shogun 3.2 DI-D Equippe 3dr     ,"£8,595",2005,SUV,"36,000",3.2L,158BHP,Manual,Diesel
176, Audi A3 2.0 TD Sport Sportback 5dr     ,"£8,995",2012,Hatchback,"48,000",2.0L,168BHP,Manual,Diesel
177, Fiat 500X 1.4 MultiAir II Pop Star Opening Edition (s/s) 5dr     ,"£8,995",2015,SUV,"24,000",1.4L,140PS,Manual,Petrol
178, Ford Fiesta 1.5 TDCi Zetec 5dr     ,"£9,495",2017,Hatchback,"18,000",1.5L,74BHP,Manual,Diesel
179, Volkswagen Golf 1.6 TDI BlueMotion Tech S (s/s) 5dr     ,"£9,495",2015,Estate,"38,000",1.6L,108BHP,Manual,Diesel
180, SKODA Octavia 1.6 TDI SE 5dr     ,"£6,695",2016,Estate,"111,000",1.6L,109BHP,Manual,Diesel
182, Citroen C1 1.0 VTi Feel 3dr     ,"£5,749",2017,Hatchback,"23,451",1.0L,69PS,Manual,Petrol
183, Mercedes-Benz SL Class 3.5 SL350 7G-Tronic 2dr     ,"£10,995",2008,Convertible,"69,500",3.5L,315BHP,Automatic,Petrol
184, Volkswagen Golf 1.4 TSI SE 5dr     ,"£5,493",2010,Hatchback,"43,000",1.4L,123BHP,Manual,Petrol
185, Smart Forfour 1.0 Prime Premium Plus 5dr     ,"£5,995",2015,Hatchback,"30,762",1.0L,71PS,Manual,Petrol
186, SKODA Citigo 1.0 MPI 75 GreenTech SE L 5dr     ,"£6,497",2015,Hatchback,"21,961",1.0L,74BHP,Manual,Petrol
187, Citroen C1 1.2 PureTech Flair 3dr     ,"£6,995",,,,,,,
188, Ford KA+ 1.2 85 Zetec 5dr     ,"£7,990",,,,,,,
189, Peugeot 2008 1.2 VTi Crossway 5dr     ,"£7,990",,,,,,,
190, Fiat 500L 1.4 Trekking 5dr     ,"£8,795",,,,,,,
191, Nissan Juke 1.2 DiG-T Tekna 5dr [Exterior+ Pack]     ,"£9,290",,,,,,,
192, Renault Captur 1.5 dCi 90 Signature Nav 5dr     ,"£9,499",2016,SUV,"31,065",1.5L,110BHP,Manual,Diesel
195, MINI Clubman 2.0 Cooper SD Auto (s/s) 6dr     ,"£13,695",2015,Estate,"45,786",2.0L,190PS,Automatic,Diesel
196, Toyota Aygo 1.0 VVT-i x-play 5dr     ,"£5,417",2016,Hatchback,"48,994",1.0L,68PS,Manual,Petrol
197, Ford Focus 1.0 SCTi EcoBoost Zetec Navigator Navigator 5dr     ,"£5,445",2014,Hatchback,"77,070",1.0L,123BHP,Manual,Petrol
198, Smart Forfour 0.9T Proxy (Premium) (s/s) 5dr     ,"£5,491",2015,Hatchback,"51,489",0.9L,90PS,Manual,Petrol
199, Mitsubishi Mirage 1.2 Attivo (s/s) 5dr     ,"£5,491",2015,Hatchback,"18,459",1.2L,79BHP,Manual,Petrol
200, Fiat 500 1.2 8V Pop (s/s) 3dr     ,"£5,542",2016,Hatchback,"26,831",1.2L,70PS,Manual,Petrol
201, Volkswagen UP! 1.0 Move up! 3dr     ,"£5,622",2015,Hatchback,"22,468",1.0L,59BHP,Manual,Petrol
202, Vauxhall Corsa 1.3 CDTI [95] ecoFLEX SE 5dr Hatchback     ,"£5,745",2015,Hatchback,"82,011",1.3L,95PS,Manual,Diesel
203, Citroen C4 Cactus 1.2 PureTech Feel 5dr (EU6)     ,"£5,780",2016,Hatchback,"84,672",1.2L,82PS,Manual,Petrol
204, Dacia Sandero 1.0 SCe Ambiance 5dr     ,"£5,791",2017,Hatchback,"15,349",1.0L,75PS,Manual,Petrol
205, Citroen C1 1.0 VTi Feel Airscape 5dr     ,"£5,958",2016,Convertible,"17,549",1.0L,69PS,Manual,Petrol
206, Ford Fiesta 1.0 EcoBoost 140 Zetec S Red 3dr Hatchback     ,"£8,150",2015,Hatchback,"30,812",1.0L,138BHP,Manual,Petrol
208, SEAT Leon 1.6 TDI 110 SE 5dr [Technology Pack] Satellite …     ,"£7,999",2015,Estate,"26,744",1.6L,108BHP,Manual,Diesel
209, Ford C-Max 1.0 T EcoBoost Zetec (s/s) 5dr     ,"£4,695",2013,MPV,"94,200",1.0L,123BHP,Manual,Petrol
210, Mitsubishi Shogun 3.2 DI-D Elegance 5dr     ,"£4,995",2006,SUV,"96,100",3.2L,158BHP,Automatic,Diesel
