,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in
3472," Vauxhall Astra Tech Line NAV 1.6CDTi (110PS) NAV SAVE £7,205 5dr     ","£13,995",2019,Hatchback,10,1.6L,110PS,Manual,Diesel
3473," Vauxhall Astra SRi 1.4i Turbo (150PS) 5dr Save £8,915     ","£13,995",2019,Hatchback,15,1.4L,150PS,Manual,Petrol
3474," Vauxhall Astra SRi NAV 1.4i Turbo (150PS) 5dr SAVE £9,115     ","£14,495",2019,Hatchback,15,1.4L,150PS,Manual,Petrol
3475, Vauxhall Astra Sports Tourer Tech Line NAV 1.6CDTi (110PS) …     ,"£14,995",2019,Estate,15,1.6L,110PS,Manual,Diesel
3476, Vauxhall Astra Sports Tourer Tech Line NAV 1.6CDTi (110PS) …     ,"£14,995",2019,Estate,10,1.6L,110PS,Manual,Diesel
3481, Vauxhall Astra Sports Tourer Tech Line 1.6CDTi (110PS) SAVE …     ,"£14,995",2019,Estate,10,1.6L,110PS,Manual,Diesel
3485, Audi A4 AVANT TDI 190 Black Edition 5dr [Nav] 2.0     ,"£18,000",2015,Estate,"26,737",2.0L,187BHP,Automatic,Diesel
3486, Mercedes-Benz A Class Diesel Hatchback A220d AMG Line Premium …     ,"£18,012",2017,Hatchback,"27,999",2.1L,177PS,Automatic,Diesel
3487, Mercedes-Benz A Class Diesel Hatchback A180d Sport 5dr Auto 1.5     ,"£18,166",2019,Hatchback,"6,973",1.5L,116PS,Automatic,Diesel
3488, SEAT Ateca Eco TS FR 5dr 1.4     ,"£18,450",2018,SUV,"9,292",1.4L,150PS,Manual,Petrol
3489, SEAT Leon TSI EVO 150 FR [EZ] 5dr 1.5     ,"£18,450",2019,Hatchback,9,1.5L,150PS,Manual,Petrol
3490, SEAT Leon TSI EVO 150 FR [EZ] 5dr 1.5     ,"£18,450",2019,Hatchback,"2,288",1.5L,150PS,Manual,Petrol
3491, Audi A3 TDI S Line 4dr 2.0     ,"£18,500",2016,Saloon,"25,966",2.0L,148BHP,Manual,Diesel
3492, Audi Q3 AVANT TDI Quattro S Line Plus 5dr S Tronic 2.0     ,"£18,500",2016,SUV,"24,002",2.0L,150PS,Automatic,Diesel
3493, Audi A3 TFSI S Line 5dr 1.5     ,"£18,500",2017,Hatchback,"31,539",1.5L,150PS,Manual,Petrol
3494, SEAT Leon TSI EVO 150 FR Sport [EZ] 5dr DSG 1.5     ,"£18,650",2019,Estate,"4,563",1.5L,150PS,Automatic,Petrol
3498, Jaguar F-Pace 2.0 i4 Diesel (180PS) R-Sport AWD 5dr     ,"£25,988",2016,SUV,"32,195",2.0L,180PS,Automatic,Diesel
3499, Ford Ranger 3.2 TDCi Wildtrak Double Cab Pickup Auto 4WD 4dr     ,"£25,995",2019,Pickup,"13,930",3.2L,200PS,Automatic,Diesel
3500, Jaguar F-Pace 2.0 i4 Diesel (180PS) R-Sport AWD 5dr     ,"£26,988",2017,SUV,"34,273",2.0L,180PS,Automatic,Diesel
3501, Jaguar F-Pace 2.0 i4 Diesel (180PS) R-Sport AWD 5dr     ,"£26,988",2017,SUV,"19,982",2.0L,180PS,Manual,Diesel
3502, Jaguar F-Pace 2.0 i4 Diesel (180PS) Portfolio AWD 5dr     ,"£27,688",2016,SUV,"11,361",2.0L,180PS,Automatic,Diesel
3503, Toyota Rav4 Estate 2.5 VVT-i Hybrid Design 5dr CVT     ,"£28,795",2019,SUV,"8,087",2.5L,222PS,Automatic,Hybrid
3504, Jaguar XF Sportbrake 3.0 V6 Diesel (300PS) S 5dr     ,"£29,988",2018,Estate,"9,687",3.0L,300PS,Automatic,Diesel
3505, Jaguar E-Pace D180 R-Dynamic HSE AWD 2.0 5dr     ,"£30,988",2018,SUV,"16,203",2.0L,180PS,Automatic,Diesel
3506, Jaguar E-Pace D240 R-Dynamic HSE AWD 2.0 5dr     ,"£30,988",2018,SUV,"20,580",2.0L,240PS,Automatic,Diesel
3507, Jaguar E-Pace D240 R-Dynamic HSE AWD 2.0 5dr     ,"£31,988",2018,SUV,"12,577",2.0L,240PS,Automatic,Diesel
3510, Hyundai Ix35 1.7 CRDi Style 5dr     ,"£8,999",2013,SUV,"18,000",1.7L,114BHP,Manual,Diesel
3511, Mazda6 2.2 TD SKYACTIV-D Sport 4dr     ,"£8,350",2014,Saloon,"63,500",2.2L,173BHP,Manual,Diesel
3512, Mercedes-Benz C Class 1.6 C200 CDI BlueTEC AMG Line G-Tronic+ …     ,"£15,499",2015,Saloon,"57,000",1.6L,136PS,Automatic,Diesel
3513, Audi A4 2.0 TFSI SE 4dr     ,"£5,600",2011,Saloon,"109,000",2.0L,208BHP,Manual,Petrol
3514, BMW 3 Series 2.0 320d EfficientDynamics BluePerformance …     ,"£9,400",2015,Saloon,"104,000",2.0L,163BHP,Automatic,Diesel
3515, SEAT Leon 1.4 TSI FR Technology ST (s/s) 5dr     ,"£12,990",2018,Estate,"7,200",1.4L,125PS,Manual,Petrol
3516, SKODA Rapid Spaceback 1.2 TSI SE Tech Spaceback 5dr     ,"£6,800",2015,Hatchback,"39,400",1.2L,85BHP,Manual,Petrol
3517, Mazda5 2.0 Sport 5dr     ,"£1,700",2007,MPV,"88,000",2.0L,144BHP,Manual,Petrol
3518, Peugeot 206 CC 1.6 S 2dr     ,£995,2002,Convertible,"93,000",1.6L,110BHP,Manual,Petrol
3519, Mercedes-Benz C Class 2.1 C250d AMG Line G-Tronic+ (s/s) 2dr     ,"£18,500",2017,Coupe,"33,000",2.1L,204PS,Automatic,Diesel
3520, Suzuki Grand Vitara 2.4 SZ5 5dr     ,"£5,995",2011,SUV,"72,000",2.4L,167BHP,Manual,Petrol
3524, Jaguar XF 3.0 TD V6 Premium Luxury Saloon 4dr Diesel Automatic …     ,"£3,995",2009,Saloon,"131,000",3.0L,235BHP,Automatic,Diesel
3525, Audi A4 1.8 TFSI S line 4dr (Nav)     ,"£5,295",2010,Saloon,"114,000",1.8L,168BHP,Manual,Petrol
3526, Volkswagen Touran 1.4 petrol TSI automatic 7 Seater     ,"£5,750",2009,MPV,"58,000",1.4L,Automatic,Petrol,1
3527, BMW 7 Series 3.0 730Ld SE LWB Saloon 4dr Diesel Automatic (180 …     ,"£6,995",2010,Saloon,"143,000",3.0L,245BHP,Automatic,Diesel
3528, BMW 2 Series Active Tourer 2.0 218d Luxury Active Tourer 5dr …     ,"£7,495",2015,MPV,"109,000",2.0L,150PS,Automatic,Diesel
3529, Volvo XC60 2.0 D4 R-Design SUV 5dr Diesel Geartronic (124 …     ,"£9,995",2014,SUV,"146,000",2.0L,181BHP,Automatic,Diesel
3530, Audi A6 Saloon 2.0 TDI Black Edition Saloon 4dr Diesel …     ,"£11,995",2013,Saloon,"83,000",2.0L,175BHP,Automatic,Diesel
3531, Volkswagen Golf 2.0 TSI BlueMotion Tech R Hatchback 3dr Petrol …     ,"£15,995",2014,Hatchback,"59,000",2.0L,296BHP,Automatic,Petrol
3532, BMW 5 Series 2.0 520d M Sport Saloon 4dr Diesel Auto (s/s) …     ,"£20,995",2017,Saloon,"62,000",2.0L,190PS,Automatic,Diesel
3533, Audi RS3 2.5 TFSI Sportback 5dr Petrol S Tronic quattro (189 …     ,"£25,495",2015,Hatchback,"54,000",2.5L,362BHP,Automatic,Petrol
3537, Vauxhall Corsa 1.4 ecoFLEX Excite 5dr [AC]     ,"£6,495",2015,Hatchback,"34,988",1.4L,90PS,Manual,Petrol
3538, Vauxhall Adam 1.2i Energised 3dr     ,"£8,995",2018,Hatchback,"20,872",1.2L,70PS,Manual,Petrol
3539, Vauxhall Corsa 1.4 SE 5dr Auto     ,"£9,194",2015,Hatchback,"19,889",1.4L,90PS,Automatic,Petrol
3540, Citroen C3 1.2 PureTech 82 Flair 5dr     ,"£10,295",2018,Hatchback,"10,310",1.2L,82PS,Manual,Petrol
3541, SKODA Octavia 1.4 TSI SE 5dr     ,"£10,592",2017,Hatchback,"33,460",1.4L,150PS,Manual,Petrol
3542, Vauxhall Astra 1.4T 16V 125 Energy 5dr     ,"£10,995",2017,Hatchback,"15,171",1.4L,125PS,Manual,Petrol
3543, Vauxhall Corsa 1.4 Energy 5dr [AC]     ,"£10,995",2019,Hatchback,"5,298",1.4L,90PS,Manual,Petrol
3544, Vauxhall Corsa 1.4 Energy 5dr [AC]     ,"£10,995",2019,Hatchback,"5,000",1.4L,90PS,Manual,Petrol
3545, Vauxhall Astra 1.6 CDTi 16V 136 Tech Line Nav 5dr     ,"£11,295",2017,Estate,"29,385",1.6L,136PS,Manual,Diesel
3546, Vauxhall Corsa 1.4 SRi Vx-line Nav Black 5dr     ,"£11,395",2019,Hatchback,"8,346",1.4L,90PS,Manual,Petrol
3550, Land Rover Defender 90 2.4 TDi XS 4X4 3dr     ,"£19,998",2007,SUV,"70,455",2.4L,120BHP,Manual,Diesel
