,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in,Car_Make
8496, Mercedes-Benz C Class C200D Amg Line Premium 4Dr Auto 2.2     ,18999,2016,Saloon,24995,2.1L,170PS,Automatic,Diesel,Mercedes-Benz
8497, Mercedes-Benz C Class C200 Se 4Dr 9G-Tronic 1.5     ,18999,2019,Saloon,10505,1.5L,198PS,Automatic,Petrol,Mercedes-Benz
8498, Mercedes-Benz E Class E220D Se Premium 4Dr 9G-Tronic 2.0     ,19102,2017,Saloon,46006,2.0L,194PS,Automatic,Diesel,Mercedes-Benz
8499, Mercedes-Benz C Class C220D Amg Line Premium 4Dr Auto 2.2     ,19150,2016,Saloon,23064,2.1L,170PS,Automatic,Diesel,Mercedes-Benz
8500, Ford Ranger 3.2 TDCi Wildtrak Double Cab Pickup Auto 4WD 4dr     ,19794,2016,Pickup,47674,3.2L,200PS,Automatic,Diesel,Ford
8501, Mercedes-Benz C Class C220D Se 4Dr 9G-Tronic 2.0     ,19798,2019,Saloon,14017,2.0L,194PS,Automatic,Diesel,Mercedes-Benz
8502, Mercedes-Benz Cla Class Cla 200D Amg Line 5Dr Tip Auto 2.2     ,19799,2017,Estate,9176,2.1L,136PS,Automatic,Diesel,Mercedes-Benz
8503, Mercedes-Benz A Class A180D Se Executive 5Dr 1.5     ,19999,2019,Hatchback,4033,1.5L,116PS,Automatic,Diesel,Mercedes-Benz
8504, Ford Ford Ranger Limited 4x4 Double Cab 2.2     ,20394,2018,Pickup,23023,2.2L,150PS,Manual,Diesel,Ford
8505, Volvo V60 D3 ES NAV 5-Door 2.0 5dr     ,5995,2012,Estate,87000,2.0L,136BHP,Manual,Diesel,Volvo
8507, Nissan Qashqai ACENTA 5-Door 1.6 5dr     ,6495,2012,SUV,85000,1.6L,115BHP,Automatic,Petrol,Nissan
8508, BMW X1 SDRIVE18D SE 5-Door 2.0 5dr     ,6695,2010,SUV,64000,2.0L,143BHP,Manual,Diesel,BMW
8509, KIA Sorento CRDI KX-1 5-Door 2.2 5dr     ,6995,2012,SUV,71000,2.2L,194BHP,Manual,Diesel,KIA
8510, Audi A5 TDI QUATTRO SPORT 3-Door 3.0 2dr     ,6995,2008,Coupe,90000,3.0L,242BHP,Manual,Diesel,Audi
8511, Land Rover Freelander SD4 HSE 5-Door 2.2 5dr     ,7495,2010,SUV,118000,2.2L,190BHP,Automatic,Diesel,Land
8512, Ford Fiesta ZETEC S BLACK EDITION 3-Door 1.0 3dr     ,7795,2015,Hatchback,43000,1.0L,138BHP,Manual,Petrol,Ford
8513, Vauxhall Corsa LIMITED EDITION ECOFLEX 5-Door 1.4 5dr     ,7995,2017,Hatchback,25000,1.4L,90PS,Manual,Petrol,Vauxhall
8515, Ford Mondeo Titanium Econetic Tdci 1.6 5dr     ,6991,2015,Hatchback,97738,1.6L,115PS,Manual,Diesel,Ford
8516, Ford Mondeo Titanium Econetic Tdci 2.0 5dr     ,6991,2015,Hatchback,105044,2.0L,150PS,Manual,Diesel,Ford
8517, Ford Focus Zetec 1.6 5dr     ,7291,2014,Hatchback,43555,1.6L,125PS,Automatic,Petrol,Ford
